rank,Economy,Income Group(Strength/Weakness),Strength / Weakness,Score_2020
1,Switzerland,Strength,Strength,66.1
2,Sweden,Strength,Strength,62.5
3,United States of America (the),Strength,Strength,60.6
4,United Kingdom (the),Strength,Strength,59.8
5,Netherlands (the),,Strength,58.8
6,Denmark,,Strength,57.5
7,Finland,,,57
8,Singapore,,,56.6
9,Germany,,,56.5
10,Republic of Korea (the),,,56.1
11,"Hong Kong, China",,,54.2
12,France,,,53.7
13,Israel,,,53.5
14,China,Strength,,53.3
15,Ireland,,,53
16,Japan,,,52.7
17,Canada,,,52.3
18,Luxembourg,,,50.8
19,Austria,Weakness,,50.1
20,Norway,Weakness,,49.3
21,Iceland,Weakness,,49.2
22,Belgium,Weakness,,49.1
23,Australia,Weakness,,48.4
24,Czech Republic (the),,,48.3
25,Estonia,,,48.3
26,New Zealand,,,47
27,Malta,,,46.4
28,Italy,,,45.7
29,Cyprus,,,45.7
30,Spain,,,45.6
31,Portugal,,,43.5
32,Slovenia,,,42.9
33,Malaysia,Strength,,42.4
34,United Arab Emirates (the),,,41.8
35,Hungary,,,41.5
36,Latvia,,,41.1
37,Bulgaria,Strength,,40
38,Poland,,,40
39,Slovakia,,,39.7
40,Lithuania,,,39.2
41,Croatia,,,37.3
42,Viet Nam,Strength,,37.1
43,Greece,,,36.8
44,Thailand,,,36.7
45,Ukraine,Strength,,36.3
46,Romania,,,36
47,Russian Federation (the),,,35.6
48,India,Strength,,35.6
49,Montenegro,,,35.4
50,Philippines,Strength,,35.2
51,Turkey,,,34.9
52,Mauritius,,,34.4
53,Serbia,,,34.3
54,Chile,Weakness,,33.9
55,Mexico,,,33.6
56,Costa Rica,,,33.5
57,North Macedonia,,,33.4
58,Mongolia,Strength,,33.4
59,Republic of Moldova (the),Strength,,33
60,South Africa,,,32.7
61,Armenia,,,32.6
62,Brazil,,,31.9
63,Georgia,,,31.8
64,Belarus,,,31.3
65,Tunisia,Strength,,31.2
66,Saudi Arabia,Weakness,,30.9
67,Iran (Islamic Republic of),,,30.9
68,Colombia,,,30.8
69,Uruguay,Weakness,,30.8
70,Qatar,Weakness,,30.8
71,Brunei Darussalam,Weakness,,29.8
72,Jamaica,,,29.1
73,Panama,Weakness,,29
74,Bosnia and Herzegovina,,,29
75,Morocco,,,29
76,Peru,,,28.8
77,Kazakhstan,,,28.6
78,Kuwait,Weakness,,28.4
79,Bahrain,Weakness,,28.4
80,Argentina,,,28.3
81,Jordan,,,27.8
82,Azerbaijan,,,27.2
83,Albania,,,27.1
84,Oman,Weakness,,26.5
85,Indonesia,,,26.5
86,Kenya,,,26.1
87,Lebanon,,,26
88,United Republic of Tanzania (the),Strength,,25.6
89,Botswana,,,25.4
90,Dominican Republic (the),,,25.1
91,Rwanda,Strength,,25.1
92,El Salvador,,,24.8
93,Uzbekistan,,,24.5
94,Kyrgyzstan,,,24.5
95,Nepal,Strength,,24.4
96,Egypt,,,24.2
97,Paraguay,Weakness,,24.1
98,Trinidad and Tobago,Weakness,,24.1
99,Ecuador,Weakness,,24.1
100,Cabo Verde,,,23.9
101,Sri Lanka,Weakness,,23.8
102,Senegal,,,23.7
103,Honduras,,,23
104,Namibia,Weakness,,22.5
105,Bolivia (Plurinational State of),,,22.4
106,Guatemala,Weakness,,22.4
107,Pakistan,,,22.3
108,Ghana,,,22.3
109,Tajikistan,,,22.2
110,Cambodia,,,21.5
111,Malawi,,,21.4
112,Côte d'Ivoire,,,21.2
113,Lao People's Democratic Republic (the),,,20.6
114,Uganda,,,20.5
115,Madagascar,,,20.4
116,Bangladesh,,,20.4
117,Nigeria,,,20.1
118,Burkina Faso,,,20
119,Cameroon,,,20
120,Zimbabwe,,,20
121,Algeria,Weakness,,19.5
122,Zambia,Weakness,,19.4
123,Mali,,,19.2
124,Mozambique,,,18.7
125,Togo,,,18.5
126,Benin,,,18.1
127,Ethiopia,,,18.1
128,Niger (the),,,17.8
129,Myanmar,Weakness,,17.7
130,Guinea,,Weakness,17.3
131,Yemen,Weakness,Weakness,13.6
